zcta5,total,nh_total,white,black,native,asian,hwpi,other,multi,hispanic,total_25yo,edu_gr9,edu_gr12_nd,edu_hs,edu_col_nd,edu_asc,edu_ba,edu_grad,edu_min_hs,edu_min_ba,inc_total,inc_10k,inc_15k,inc_25k,inc_35k,inc_50k,inc_75k,inc_100k,inc_150k,inc_200k,inc_200kplus,inc_mean,inc_avg,ins_total_pop,ins_total,ins_private,ins_public,no_ins_total,pov_families,pov_all,perc_sleep18,perc_sleep20,perc_sleep22,borough,neighborhood
10280,8843,7753,5403,150,0,2054,0,0,146,1090,7261,95,17,369,460,56,2996,3268,7149,6264,4293,1.1,1.5,1.6,0.0,2.6,3.7,8.3,17.1,13.9,50.3,206150,289305,8843,96.9,85.9,14.8,3.1,3.2,4.6,34.8,29.1,31.9,Manhattan,Battery Park City
10282,6450,6172,4607,137,0,885,0,0,543,278,4480,23,13,256,180,419,1403,2186,4444,3589,2635,2.8,0.7,0.0,2.4,0.5,0.0,0.9,8.2,14.7,69.8,"250,000+",462043,6450,98.9,93.4,14.0,1.1,2.0,5.8,34.7,29.3,33.1,Manhattan,Battery Park City
10301,40331,29728,16694,8036,288,3072,0,130,1508,10603,28291,1659,2216,6728,4824,1619,5895,5350,24416,11245,14400,6.3,3.8,5.3,5.4,6.2,17.2,12.5,16.6,11.5,15.1,84855,118113,39517,94.8,64.4,41.8,5.2,8.3,12.8,45.1,38.9,43.9,Staten Island,St. George
10302,18567,10786,5314,4027,0,1041,0,71,333,7781,12259,826,833,4457,1639,901,2282,1321,10600,3603,5945,9.0,2.7,7.3,3.7,10.6,16.3,10.6,18.3,11.9,9.6,75588,94902,18536,91.3,61.9,36.5,8.7,11.9,17.4,45.9,39.7,45.3,Staten Island,Port Richmond
10303,27083,16510,4699,8129,0,2650,0,119,913,10573,17857,1662,1790,5496,2641,1363,3261,1644,14405,4905,8675,9.3,6.4,4.8,4.7,6.4,16.1,12.3,18.0,11.8,10.1,78578,98699,27064,94.7,56.9,46.1,5.3,16.6,18.0,48.6,42.6,48,Staten Island,Mariner's Harbor
10304,44864,35129,17196,11673,19,5510,0,214,517,9735,30873,1882,3160,9090,5397,1807,6180,3357,25831,9537,15553,8.9,6.4,6.4,6.0,9.1,15.6,9.7,16.1,9.1,12.7,69479,108942,43992,94.5,57.3,46.4,5.5,13.9,17.0,45.9,40.2,45.4,Staten Island,Stapleton
10305,42211,35938,24453,1863,16,8470,0,188,948,6273,31477,2618,2145,8924,4576,2975,6239,4000,26714,10239,15780,5.1,3.1,6.4,5.7,8.3,15.1,13.8,19.2,10.2,13.1,84764,109945,41735,95.8,66.8,39.8,4.2,5.8,8.8,43.3,37.3,42,Staten Island,Rosebank
10306,56232,47132,35532,1703,0,7733,0,200,1964,9100,39837,2321,2250,13290,6696,2436,7520,5324,35266,12844,19872,3.1,3.3,6.4,6.9,7.2,12.9,13.0,19.9,11.6,15.8,94758,118424,55843,95.7,72.8,36.2,4.3,7.3,9.8,41.8,36.2,40.9,Staten Island,New Dorp
10307,14755,13198,12687,10,0,310,14,0,177,1557,10101,284,497,2351,1899,1148,2008,1914,9320,3922,5217,2.5,2.0,2.2,2.6,6.8,12.7,11.3,25.0,12.3,22.7,124738,145667,14750,97.5,79.9,31.3,2.5,4.7,4.6,41.9,35.9,38.9,Staten Island,Tottenville
10308,30075,26755,23986,196,0,2074,0,42,457,3320,22074,500,568,6851,3249,1969,5102,3835,21006,8937,10472,4.3,1.5,4.2,3.5,5.6,10.1,12.1,17.6,18.9,22.2,122647,136486,30075,97.2,80.6,27.9,2.8,3.0,5.3,40.9,35,39.7,Staten Island,Great Kills
