zcta5,total,nh_total,white,black,native,asian,hwpi,other,multi,hispanic,total_25yo,edu_gr9,edu_gr12_nd,edu_hs,edu_col_nd,edu_asc,edu_ba,edu_grad,edu_min_hs,edu_min_ba,inc_total,inc_10k,inc_15k,inc_25k,inc_35k,inc_50k,inc_75k,inc_100k,inc_150k,inc_200k,inc_200kplus,inc_mean,inc_avg,ins_total_pop,ins_total,ins_private,ins_public,no_ins_total,pov_families,pov_all,perc_sleep18,perc_sleep20,perc_sleep22,borough,neighborhood
11423,29921,25533,3155,9994,243,9153,5,1654,1329,4388,22020,1806,1516,5611,3491,1996,4976,2624,18698,7600,9946,7.5,2.0,5.3,4.9,12.9,15.9,13.0,15.1,12.4,11.0,79500,103394,29582,92.8,57.2,44.6,7.2,10.5,11.0,42.8,38.7,40.3,Queens,Hollis
11426,19733,16187,4543,1129,0,9243,0,468,804,3546,14645,822,894,3265,2281,1173,3938,2272,12929,6210,6108,1.4,1.0,4.4,3.4,5.2,10.2,19.7,20.1,19.6,15.1,112325,129673,19708,93.8,70.6,37.0,6.2,4.9,6.5,37.9,33.5,35.5,Queens,Bellerose
11427,25187,19907,3740,5422,29,8696,0,727,1293,5280,18763,1668,1466,4271,2866,1990,3893,2609,15629,6502,8046,4.8,3.0,4.5,6.8,8.2,15.7,12.8,19.6,11.2,13.5,84691,107138,24858,95.8,64.1,44.4,4.2,5.0,10.8,40.8,36.4,38.3,Queens,Queens Village
11428,19554,14434,1638,3919,26,6215,0,1686,950,5120,14561,1554,1056,4368,2225,1379,2710,1269,11951,3979,6153,3.2,3.6,4.6,6.5,10.2,16.2,9.9,21.2,11.2,13.5,89593,110985,19552,92.8,60.4,42.6,7.2,9.6,9.7,42.4,37.8,39.8,Queens,Queens Village
11429,27845,23663,834,18217,12,2059,0,1239,1302,4182,19662,1311,1636,6176,3730,1449,3354,2006,16715,5360,8038,3.9,7.3,2.6,8.2,5.0,10.7,13.6,20.2,12.3,16.2,95721,117648,27816,92.7,63.1,38.9,7.3,4.7,8.5,45,41.5,43.4,Queens,Queens Village
11432,64268,50755,7713,10788,454,27538,66,955,3241,13513,44701,5024,3501,9865,6414,3434,10572,5891,36176,16463,20036,4.3,3.6,6.4,8.1,10.4,19.0,11.6,18.4,8.5,9.7,72001,103895,63358,90.8,48.4,50.2,9.2,8.7,13.7,41.2,36.6,38.9,Queens,Jamaica
11433,38865,33472,1135,21493,640,5975,0,2872,1357,5393,25282,3027,2505,8550,4970,1839,3193,1198,19750,4391,10886,6.6,6.4,5.6,6.2,11.7,15.4,14.1,15.0,10.0,9.0,73118,91186,38825,91.9,49.8,49.4,8.1,9.7,14.0,46.5,43,44.5,Queens,Jamaica
11434,68182,60189,1362,53211,129,2039,0,1180,2268,7993,46920,2383,3708,14570,11820,4067,6732,3640,40829,10372,22986,7.8,3.8,3.8,8.2,10.3,18.4,11.5,18.4,8.4,9.4,71728,96344,67749,93.0,58.8,42.1,7.0,8.1,12.2,46,42.7,44.8,Queens,Jamaica
11435,59961,42420,8247,14567,240,13830,0,3788,1748,17541,41895,4841,3363,9175,7180,3349,8721,5266,33691,13987,19350,3.6,5.0,5.2,7.9,8.7,17.8,12.8,18.8,10.5,9.8,76915,100007,59679,91.4,49.0,49.0,8.6,10.8,13.4,42,37.7,40,Queens,Jamaica
11436,21349,18591,388,13086,137,1371,0,2018,1591,2758,14882,989,1274,5391,2855,1022,2224,1127,12619,3351,6136,5.4,1.9,5.2,6.6,8.9,14.0,15.5,19.9,10.2,12.5,87685,110683,21318,93.1,60.2,41.9,6.9,7.1,10.8,46.1,42.7,43.9,Queens,Jamaica
11691,70365,52241,16825,28934,0,2865,36,1011,2570,18124,43301,4760,3978,12355,7489,3851,6112,4756,34563,10868,21687,9.0,8.9,7.6,7.7,11.0,14.0,9.1,15.9,7.5,9.4,59153,92048,68445,90.4,48.5,51.6,9.6,15.4,18.9,42.8,39.2,41.8,Queens,Far Rockaway
11692,24584,18461,3231,13075,0,1129,0,232,794,6123,15490,1275,1200,4416,2644,1521,2505,1929,13015,4434,8128,8.7,5.8,9.4,12.2,8.4,12.3,11.3,14.2,8.3,9.4,57687,88642,23778,94.8,54.9,47.6,5.2,18.0,22.1,45.1,41.6,43.5,Queens,Arverne
11693,13558,10085,6200,2910,23,457,0,166,329,3473,9683,644,747,2704,1326,806,2156,1300,8292,3456,5274,9.1,3.9,6.2,11.0,10.6,9.8,13.4,17.8,7.2,11.0,72714,94702,13450,92.7,56.1,47.0,7.3,15.4,17.9,39.8,36.4,38.1,Queens,Far Rockaway
11694,21788,18001,15628,1552,18,482,0,36,285,3787,15723,735,906,3831,2615,826,3496,3314,14082,6810,7994,4.7,4.6,6.2,4.6,6.6,12.4,10.8,19.0,15.1,16.0,100190,124327,21145,96.6,71.4,36.1,3.4,8.2,12.4,35.2,32,33.8,Queens,Rockaway Park
11697,3946,3812,3698,9,0,44,0,0,61,134,2916,25,169,365,553,274,780,750,2722,1530,1533,1.9,0.6,5.0,2.9,5.0,11.1,11.2,17.5,14.4,30.5,134563,160188,3946,99.6,93.4,25.9,0.4,2.1,3.9,31.7,28.6,29.7,Queens,Breezy Point
