zcta5,total_25yo,edu_gr9,edu_gr12_nd,edu_hs,edu_col_nd,edu_asc,edu_ba,edu_grad,edu_min_hs,edu_min_ba
11225,43978,2177,2866,8825,6824,2887,13303,7096,38935,20399
11226,73611,4478,5750,21753,11917,4021,16212,9480,63383,25692
11228,32687,4404,1793,9085,3132,1957,7842,4474,26490,12316
11229,57942,4321,3087,15396,6743,4413,14169,9813,50534,23982
11230,59193,5057,5145,12008,7145,4631,14036,11171,48991,25207
11231,27887,1293,1457,3006,2018,856,10015,9242,25137,19257
11232,20295,3472,2821,3922,2210,1015,3860,2995,14002,6855
11233,58249,3596,5071,18972,8757,3740,10665,7448,49582,18113
11234,63718,3796,3519,17611,9460,5198,13836,10298,56403,24134
11235,63558,3616,3009,13568,6563,5247,18012,13543,56933,31555
11236,69911,4647,3651,22175,12731,6828,13168,6711,61613,19879
11237,34954,4280,3994,7207,3969,1730,10308,3466,26680,13774
11238,45762,1093,2126,4770,3655,1887,17389,14842,42543,32231
11239,12188,980,667,4776,1621,1170,1792,1182,10541,2974
11249,28631,1308,2565,4438,2843,1127,9713,6637,24758,16350
11354,43024,5289,3999,12155,4441,4089,8389,4662,33736,13051
11355,62791,10701,8533,17872,6170,5207,8921,5387,43557,14308
11356,19162,2829,1419,5813,2477,2128,2924,1572,14914,4496
11357,31777,3221,1557,8080,4835,2410,6982,4692,26999,11674
11358,28351,2708,2149,7119,3603,2586,6111,4075,23494,10186
11359,0,0,0,0,0,0,0,0,0,0
11360,15729,1105,713,2773,2002,1044,3931,4161,13911,8092
11361,22121,1559,1163,4081,3144,1838,5576,4760,19399,10336
11362,14748,601,617,2382,2037,1329,4561,3221,13530,7782
11363,5458,357,253,500,895,376,1568,1509,4848,3077
11364,27737,2461,1197,5441,3159,2173,7845,5461,24079,13306
11365,32872,3087,1548,7346,5284,3176,7608,4823,28237,12431
11366,9789,802,511,1673,1084,646,2997,2076,8476,5073
11367,28346,2704,1601,6487,2761,2265,7217,5311,24041,12528
11368,75326,19519,7299,24105,9193,4926,7941,2343,48508,10284
11369,23134,2602,2255,7985,3357,1916,3334,1685,18277,5019
11370,21254,2512,2740,7251,2051,1413,3517,1770,16002,5287
11371,0,0,0,0,0,0,0,0,0,0
11372,50209,5897,3468,14064,5964,3672,9135,8009,40844,17144
11373,72670,12481,5983,20013,6766,5313,16139,5975,54206,22114
11374,35610,1857,1535,6441,3877,3305,10961,7634,32218,18595
11375,58743,2256,1324,7823,7154,3620,19355,17211,55163,36566
11377,65544,7808,4303,20607,6700,5122,14101,6903,53433,21004
11378,26947,2022,2000,8828,4611,2198,5064,2224,22925,7288
11379,28619,2018,1996,7802,4604,1905,6225,4069,24605,10294
11385,74477,6822,5000,21783,10227,6016,16635,7994,62655,24629
11411,16130,478,728,4409,3762,1515,2929,2309,14924,5238
11412,28976,1153,1929,9307,6696,2590,4666,2635,25894,7301
11413,31498,1066,1541,9794,7365,2713,5207,3812,28891,9019
11414,22440,1461,1319,6568,4389,1705,4033,2965,19660,6998
11415,15411,1044,770,2526,1955,1284,4265,3567,13597,7832
11416,18580,2409,1876,5424,2562,1552,3478,1279,14295,4757
11417,21094,2503,1946,5767,3684,1694,3415,2085,16645,5500
11418,26371,2959,2310,7593,4030,1584,4837,3058,21102,7895
11419,35168,5883,3413,11479,4964,2364,4783,2282,25872,7065
11420,37248,4779,3370,12064,6091,2961,5499,2484,29099,7983
11421,29130,3679,2465,8451,4333,2493,5407,2302,22986,7709
11422,23843,1082,1495,6576,5338,2226,4565,2561,21266,7126
11423,22020,1806,1516,5611,3491,1996,4976,2624,18698,7600
11424,0,0,0,0,0,0,0,0,0,0
11426,14645,822,894,3265,2281,1173,3938,2272,12929,6210
11427,18763,1668,1466,4271,2866,1990,3893,2609,15629,6502
11428,14561,1554,1056,4368,2225,1379,2710,1269,11951,3979
11429,19662,1311,1636,6176,3730,1449,3354,2006,16715,5360
11430,200,0,17,65,81,19,12,6,183,18
11432,44701,5024,3501,9865,6414,3434,10572,5891,36176,16463
11433,25282,3027,2505,8550,4970,1839,3193,1198,19750,4391
11434,46920,2383,3708,14570,11820,4067,6732,3640,40829,10372
11435,41895,4841,3363,9175,7180,3349,8721,5266,33691,13987
11436,14882,989,1274,5391,2855,1022,2224,1127,12619,3351
11439,7,0,0,0,0,0,7,0,7,7
11451,0,0,0,0,0,0,0,0,0,0
11501,16617,1098,814,2906,1940,1106,4830,3923,14705,8753
11507,5108,234,81,698,459,367,1669,1600,4793,3269
11509,1350,3,27,194,205,124,423,374,1320,797
11510,24912,1062,582,5089,5056,2522,5768,4833,23268,10601
11514,3376,55,58,726,494,311,1054,678,3263,1732
