"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"860Z200US12561","ZCTA5 12561","18136","547","15831","661","13579","816","944","352","28","37","492","156","14","26","176","135","598","189","58","64","540","178","2305","446","611","188","283","132","63","79","23","26","0","21","581","247","744","256","654","247","90","60",
"860Z200US12563","ZCTA5 12563","7691","709","6244","576","5317","578","626","309","0","19","135","69","7","14","16","22","143","95","65","91","78","48","1447","350","677","307","122","166","0","19","0","19","0","19","513","229","135","73","135","73","0","19",
"860Z200US12564","ZCTA5 12564","7700","451","6531","552","5666","596","397","269","0","19","111","78","3","9","78","109","276","169","41","44","235","166","1169","267","362","151","83","77","0","19","0","19","0","19","386","182","338","210","305","211","33","31",
"860Z200US12565","ZCTA5 12565","1559","374","1507","364","1280","332","189","195","0","13","2","9","0","13","0","13","36","46","0","13","36","46","52","62","15","20","10","18","0","13","0","13","0","13","0","13","27","41","0","13","27","41",
"860Z200US12566","ZCTA5 12566","12407","758","11269","766","9846","883","504","212","0","21","59","83","0","21","52","86","808","403","577","394","231","133","1138","425","449","357","9","16","0","21","13","23","0","21","352","169","315","200","308","201","7","12",
"860Z200US12567","ZCTA5 12567","2347","207","2194","226","2062","207","12","16","0","13","17","21","20","38","12","14","71","43","5","7","66","43","153","111","17","27","0","13","0","13","0","13","0","13","34","46","102","95","96","94","6","11",
"860Z200US12569","ZCTA5 12569","9603","553","8462","539","7758","600","241","202","0","19","106","100","0","19","12","17","345","192","55","76","290","179","1141","320","451","209","10","16","0","19","0","19","0","19","327","170","353","255","321","249","32","52",
"860Z200US12570","ZCTA5 12570","6923","675","6199","644","5186","570","475","326","0","19","256","159","0","19","0","19","282","140","45","47","237","130","724","296","259","159","22","35","0","19","58","79","0","19","155","99","230","128","169","119","61","59",
"860Z200US12571","ZCTA5 12571","9235","340","8846","371","7810","414","359","188","0","19","149","74","0","19","35","39","493","181","147","78","346","161","389","148","228","117","51","40","4","8","0","19","0","19","23","26","83","55","68","51","15","18",
"860Z200US12572","ZCTA5 12572","9287","431","8647","454","7968","473","214","114","0","19","157","111","1","6","175","152","132","85","24","31","108","80","640","214","260","134","0","19","0","19","0","19","0","19","236","165","144","95","144","95","0","19",
"860Z200US12574","ZCTA5 12574","293","172","277","164","277","164","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","16","25","16","25","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US12575","ZCTA5 12575","1584","505","1162","340","1038","346","24","28","0","13","0","13","0","13","0","13","100","153","100","153","0","13","422","320","318","342","11","19","0","13","0","13","0","13","44","85","49","76","49","76","0","13",
"860Z200US12577","ZCTA5 12577","1552","453","1341","379","1283","375","17","26","0","13","0","13","0","13","0","13","41","53","0","13","41","53","211","148","0","13","39","45","0","13","0","13","0","13","90","102","82","100","82","100","0","13",
"860Z200US12578","ZCTA5 12578","2125","321","2068","315","1848","300","30","33","0","13","22","23","0","13","52","60","116","83","41","66","75","51","57","59","12","16","0","13","0","13","0","13","0","13","8","12","37","58","0","13","37","58",
"860Z200US12580","ZCTA5 12580","4556","635","4332","618","3802","527","169","121","0","13","133","108","20","21","0","13","208","181","154","168","54","52","224","140","159","120","1","2","0","13","0","13","0","13","0","13","64","51","51","48","13","21",
"860Z200US12581","ZCTA5 12581","2041","366","1559","334","1411","317","1","3","0","13","46","45","0","13","20","32","81","66","9","14","72","63","482","280","136","112","0","13","135","152","0","13","0","13","169","212","42","49","19","29","23","38",
"860Z200US12582","ZCTA5 12582","6168","513","5310","522","3929","550","1149","222","5","8","107","77","0","19","0","19","120","84","39","46","81","73","858","257","80","82","69","40","0","19","0","19","0","19","335","140","374","233","253","173","121","167",
"860Z200US12583","ZCTA5 12583","1832","237","1692","216","1632","215","9","13","0","13","32","21","0","13","11","14","8","9","2","3","6","9","140","98","82","76","0","13","0","13","0","13","0","13","34","64","24","24","24","24","0","13",
"860Z200US12585","ZCTA5 12585","842","243","831","242","681","226","9","12","8","11","65","66","0","13","0","13","68","72","42","50","26","42","11","16","1","6","0","13","0","13","0","13","0","13","0","13","10","15","10","15","0","13",
"860Z200US12586","ZCTA5 12586","12802","742","10533","925","8171","1058","1255","492","0","21","102","78","19","23","54","52","932","461","532","415","400","251","2269","530","860","365","4","7","50","83","12","20","0","21","383","289","960","554","834","541","126","109",
"860Z200US12589","ZCTA5 12589","19584","1499","15858","1366","12263","1221","1625","293","0","21","342","145","0","21","159","182","1469","786","612","536","857","585","3726","693","1216","269","101","85","0","21","0","21","0","21","1065","403","1344","480","975","332","369","329",
"860Z200US12590","ZCTA5 12590","36816","1022","30786","1181","24611","1298","3209","637","21","33","1616","403","0","28","528","361","801","311","255","162","546","242","6030","623","2245","449","284","200","40","41","0","28","0","28","1759","495","1702","449","1334","332","368","287",
"860Z200US12592","ZCTA5 12592","1429","392","1090","407","980","398","93","90","0","13","8","13","0","13","0","13","9","20","0","13","9","20","339","244","196","187","0","13","0","13","0","13","0","13","92","108","51","67","51","67","0","13",
"860Z200US12594","ZCTA5 12594","4117","580","3381","528","2798","513","431","279","0","13","12","20","0","13","0","13","140","126","0","13","140","126","736","207","386","204","17","30","0","13","0","13","0","13","279","204","54","38","54","38","0","13",
"860Z200US12601","ZCTA5 12601","43623","1371","35592","1441","20556","1392","11452","950","64","48","1170","305","33","55","237","196","2080","502","455","296","1625","389","8031","1317","2184","824","512","239","45","52","5","9","0","28","2362","728","2923","725","1707","515","1216","452",
"860Z200US12603","ZCTA5 12603","42215","1372","37308","1308","28309","1285","4583","680","52","59","2282","460","15","16","331","236","1736","493","299","160","1437","445","4907","767","1887","485","144","101","184","174","52","67","19","27","1471","500","1150","458","1014","432","136","120",
"860Z200US12604","ZCTA5 12604","1978","192","1826","195","1281","220","123","50","0","13","301","90","0","13","8","15","113","57","17","19","96","54","152","53","22","30","15","22","0","13","0","13","5","11","89","40","21","32","20","32","1","2",
"860Z200US12701","ZCTA5 12701","12448","497","8879","706","5841","622","1821","410","35","27","616","168","0","21","64","97","502","253","94","106","408","223","3569","635","1351","421","40","63","96","98","8","13","0","21","1091","519","983","445","587","377","396","286",
"860Z200US12719","ZCTA5 12719","1132","261","1026","260","940","257","42","66","14","15","14","15","0","13","7","10","9","15","0","13","9","15","106","81","8","14","0","13","0","13","0","13","0","13","27","34","71","70","0","13","71","70",
"860Z200US12720","ZCTA5 12720","274","260","274","260","274","260","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US12721","ZCTA5 12721","7872","811","6649","787","5767","720","262","272","67","71","99","101","0","19","12","20","442","238","28","39","414","234","1223","620","535","273","0","19","0","19","0","19","0","19","141","126","547","443","547","443","0","19",
"860Z200US12722","ZCTA5 12722","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US12723","ZCTA5 12723","1776","600","1598","441","1265","269","236","265","7","32","11","11","5","22","5","23","69","111","0","13","69","111","178","212","112","85","0","13","0","13","0","13","0","13","8","10","58","158","58","158","0","13",
"860Z200US12724","ZCTA5 12724","78","74","78","74","63","70","0","13","0","13","0","13","0","13","9","15","6","10","0","13","6","10","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US12725","ZCTA5 12725","323","109","295","99","236","76","0","13","0","13","9","24","0","13","0","13","50","55","31","44","19","19","28","30","14","17","0","13","0","13","0","13","0","13","9","13","5","7","5","7","0","13",
"860Z200US12726","ZCTA5 12726","1357","373","1305","378","1272","373","8","12","0","13","2","3","0","13","0","13","23","27","3","4","20","26","52","38","13","18","0","13","0","13","0","13","0","13","22","21","17","21","5","10","12","19",
"860Z200US12729","ZCTA5 12729","1382","494","1281","462","958","323","239","326","0","13","54","64","0","13","0","13","30","38","0","13","30","38","101","165","101","165","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US12732","ZCTA5 12732","830","278","728","264","703","261","0","13","0","13","3","6","0","13","8","12","14","17","0","13","14","17","102","73","18","19","0","13","0","13","0","13","0","13","9","18","75","71","75","71","0","13",
"860Z200US12733","ZCTA5 12733","1996","293","1568","251","937","260","564","125","0","13","3","6","0","13","22","20","42","47","12","21","30","43","428","148","22","17","22","40","0","13","0","13","0","13","295","130","89","73","84","73","5","6",
"860Z200US12734","ZCTA5 12734","1016","432","791","460","593","313","2","6","0","13","0","13","0","13","196","255","0","13","0","13","0","13","225","253","178","245","0","13","10","16","0","13","0","13","37","56","0","13","0","13","0","13",
"860Z200US12736","ZCTA5 12736","122","103","106","100","106","100","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","16","23","0","13","0","13","0","13","0","13","0","13","0","13","16","23","16","23","0","13",
"860Z200US12737","ZCTA5 12737","1625","336","1493","338","1438","345","0","13","0","13","7","15","0","13","0","13","48","33","0","13","48","33","132","89","26","28","0","13","0","13","0","13","0","13","44","51","62","77","62","77","0","13",
"860Z200US12738","ZCTA5 12738","359","221","244","176","244","176","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","115","127","0","13","0","13","0","13","0","13","0","13","63","97","52","81","52","81","0","13",
"860Z200US12740","ZCTA5 12740","1695","335","1572","331","1352","272","72","74","0","13","6","11","0","13","125","137","17","18","9","13","8","13","123","109","68","87","0","13","0","13","0","13","0","13","0","13","55","69","55","69","0","13",
"860Z200US12741","ZCTA5 12741","168","95","158","95","117","77","18","18","0","13","0","13","0","13","0","13","23","30","0","13","23","30","10","17","0","13","0","13","0","13","0","13","0","13","0","13","10","17","10","17","0","13",
"860Z200US12742","ZCTA5 12742","194","149","111","90","111","90","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","83","89","30","29","1","7","0","13","0","13","0","13","21","38","31","46","31","46","0","13",
"860Z200US12743","ZCTA5 12743","310","113","310","113","285","107","2","5","0","13","0","13","0","13","0","13","23","28","7","10","16","19","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US12745","ZCTA5 12745","5","7","5","7","5","7","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US12746","ZCTA5 12746","600","230","558","208","497","190","0","13","0","13","28","41","0","13","0","13","33","41","0","13","33","41","42","54","13","20","0","13","0","13","0","13","0","13","0","13","29","51","0","13","29","51",
"860Z200US12747","ZCTA5 12747","2026","575","1868","558","1457","527","223","202","0","13","92","96","0","13","0","13","96","70","4","11","92","67","158","136","73","90","0","13","0","13","0","13","0","13","59","85","26","50","26","50","0","13",
"860Z200US12748","ZCTA5 12748","1751","681","1606","650","1482","646","53","42","0","13","13","21","0","13","9","15","49","34","14","23","35","28","145","115","31","43","0","13","0","13","0","13","0","13","16","19","98","105","75","96","23","46",
"860Z200US12749","ZCTA5 12749","539","375","539","375","539","375","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US12750","ZCTA5 12750","36","31","36","31","36","31","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US12751","ZCTA5 12751","1151","300","1056","307","808","303","196","124","0","13","0","13","0","13","0","13","52","52","0","13","52","52","95","109","25","41","0","13","0","13","0","13","0","13","0","13","70","74","0","13","70","74",
"860Z200US12752","ZCTA5 12752","302","130","298","130","259","137","19","19","0","13","0","13","0","13","20","24","0","13","0","13","0","13","4","6","0","13","0","13","0","13","0","13","0","13","0","13","4","6","4","6","0","13",
"860Z200US12754","ZCTA5 12754","7800","597","5094","785","4038","792","737","274","0","19","111","110","0","19","45","63","163","102","36","46","127","92","2706","576","881","377","0","19","191","150","0","19","0","19","1372","558","262","147","175","115","87","97",
"860Z200US12758","ZCTA5 12758","3857","490","3732","461","3340","487","32","31","0","13","93","52","2","5","0","13","265","197","94","92","171","181","125","90","82","66","2","5","0","13","0","13","0","13","0","13","41","65","41","65","0","13",
"860Z200US12759","ZCTA5 12759","2145","551","1881","528","1058","404","667","358","46","52","5","10","0","13","0","13","105","87","46","65","59","56","264","253","86","66","21","21","0","13","0","13","0","13","157","249","0","13","0","13","0","13",
"860Z200US12760","ZCTA5 12760","425","184","324","115","304","113","0","13","0","13","20","24","0","13","0","13","0","13","0","13","0","13","101","111","101","111","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US12762","ZCTA5 12762","350","245","350","245","325","246","0","13","0","13","0","13","0","13","0","13","25","27","13","20","12","18","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
