zcta5,total,nh_total,white,black,native,asian,hwpi,other,multi,hispanic
11375,75212,62852,35338,2012,69,21464,0,534,3435,12360
11377,86977,52694,17338,1337,223,31779,0,501,1516,34283
11378,39250,24801,18243,363,11,5292,0,364,528,14449
11379,38261,29831,23558,234,56,4688,0,723,572,8430
11385,105521,57801,45372,2530,26,7240,0,442,2191,47720
11411,21329,19904,426,18517,0,313,0,186,462,1425
11412,40593,37492,540,32418,138,1265,162,1362,1607,3101
11413,44832,41797,549,38399,42,733,0,1129,945,3035
11414,30374,22868,19140,1107,0,1710,0,44,867,7506
11415,20315,15654,8596,1359,34,4538,6,421,700,4661
11416,27794,15265,3128,969,7,9448,0,597,1116,12529
11417,31200,19214,5007,2216,39,8812,0,1593,1547,11986
11418,38317,22399,7235,2866,251,8958,0,1032,2057,15918
11419,48096,39512,1746,6686,550,16375,45,10050,4060,8584
11420,51153,40275,2112,10901,954,17066,134,4012,5096,10878
11421,41552,17009,5548,1717,0,7447,0,1199,1098,24543
11422,32296,29423,1884,25585,0,782,0,320,852,2873
11423,29921,25533,3155,9994,243,9153,5,1654,1329,4388
11424,0,0,0,0,0,0,0,0,0,0
11426,19733,16187,4543,1129,0,9243,0,468,804,3546
11427,25187,19907,3740,5422,29,8696,0,727,1293,5280
11428,19554,14434,1638,3919,26,6215,0,1686,950,5120
11429,27845,23663,834,18217,12,2059,0,1239,1302,4182
11430,332,248,75,167,0,6,0,0,0,84
11432,64268,50755,7713,10788,454,27538,66,955,3241,13513
11433,38865,33472,1135,21493,640,5975,0,2872,1357,5393
11434,68182,60189,1362,53211,129,2039,0,1180,2268,7993
11435,59961,42420,8247,14567,240,13830,0,3788,1748,17541
11436,21349,18591,388,13086,137,1371,0,2018,1591,2758
11439,2140,1649,950,386,8,168,0,0,137,491
11451,0,0,0,0,0,0,0,0,0,0
11501,21434,18597,13543,299,13,3647,0,574,521,2837
11507,7111,6759,3470,28,0,2953,0,78,230,352
11509,1682,1637,1553,5,0,23,0,46,10,45
11510,35070,27930,10568,14056,0,1042,0,95,2169,7140
11514,5040,4493,3121,149,0,571,0,607,45,547
11516,8450,7250,6927,197,0,76,0,0,50,1200
11518,10294,9233,8022,584,0,446,0,25,156,1061
11520,44876,25446,9516,13486,13,913,5,181,1332,19430
11530,28207,26310,23443,270,0,1704,0,108,785,1897
11542,29095,20922,16994,1348,72,1561,66,151,730,8173
11545,12068,10503,9155,93,30,931,0,90,204,1565
11547,585,585,443,0,0,142,0,0,0,0
11548,2230,2123,1538,102,0,433,0,0,50,107
11549,2508,2256,1643,242,0,198,0,0,173,252
11550,60668,33760,4252,26834,68,1195,7,229,1175,26908
11552,26043,20163,12680,5339,25,1260,0,354,505,5880
11553,27886,15052,2510,11397,6,286,0,177,676,12834
11554,36856,31950,22780,1707,6,6617,9,223,608,4906
11556,0,0,0,0,0,0,0,0,0,0
11557,8290,7571,5958,579,0,854,0,0,180,719
11558,8660,6805,5976,104,0,299,0,196,230,1855
11559,8732,7444,7110,81,0,197,0,24,32,1288
11560,7043,5965,5600,34,0,232,0,0,99,1078
11561,38755,33329,28690,1703,39,1633,4,242,1018,5426
11563,22055,17427,13799,1193,1,1785,0,203,446,4628
11565,9013,7640,6365,460,0,242,0,32,541,1373
11566,33976,30614,27765,917,31,1090,0,111,700,3362
11568,4272,3985,2742,260,0,672,0,46,265,287
11569,1110,1080,1075,0,0,0,0,0,5,30
11570,28262,25323,21526,1425,0,1514,0,284,574,2939
11572,29961,25344,23478,454,0,920,0,39,453,4617
11575,19102,10867,395,9419,6,455,0,131,461,8235
11576,12506,11707,8469,114,0,2530,0,482,112,799
11577,12399,11583,8295,391,3,2658,0,82,154,816
11579,5062,4748,4543,40,0,52,0,12,101,314
