zcta5,inc_total,inc_10k,inc_15k,inc_25k,inc_35k,inc_50k,inc_75k,inc_100k,inc_150k,inc_200k,inc_200kplus,inc_mean,inc_avg,ins_total_pop,ins_total,ins_private,ins_public,no_ins_total,pov_families,pov_all
12131,76,5.3,1.3,7.9,18.4,14.5,19.7,6.6,10.5,1.3,14.5,55357,77788,188,95.2,68.1,48.4,4.8,10.0,12.8
12132,66,0.0,0.0,0.0,0.0,0.0,22.7,0.0,22.7,0.0,54.5,205208,154430,133,100.0,72.9,27.1,0.0,0.0,0.0
12134,1721,4.0,2.1,8.9,7.8,15.3,18.5,14.7,14.8,6.9,6.9,65689,86348,4298,97.5,68.4,55.6,2.5,8.9,15.9
12136,331,3.0,3.0,3.3,0.0,3.0,4.8,10.6,21.8,21.8,28.7,150114,242496,790,97.8,79.5,47.8,2.2,0.0,5.8
12137,748,9.1,1.5,4.5,1.6,0.5,9.5,19.9,19.8,15.8,17.8,112841,119439,2035,98.7,89.9,21.5,1.3,2.8,11.8
12138,1243,1.9,7.9,10.5,7.2,9.3,16.3,17.1,19.6,4.7,5.4,69271,81199,2915,98.0,72.8,41.0,2.0,7.1,9.3
12139,94,0.0,9.6,6.4,6.4,11.7,14.9,10.6,27.7,5.3,7.4,83750,86559,286,96.5,69.6,55.2,3.5,3.7,5.9
12140,580,3.6,3.1,1.0,1.2,13.4,10.5,18.3,20.2,12.2,16.4,93750,111882,1412,96.5,88.7,24.9,3.5,6.4,10.8
12143,2202,1.1,4.2,5.9,8.5,10.9,20.0,8.3,14.8,16.1,10.1,74524,102916,5440,96.8,72.5,38.5,3.2,6.6,11.5
12144,9413,5.0,3.0,4.9,3.9,8.3,14.7,13.9,27.0,13.1,6.1,92875,98499,21738,95.9,76.1,36.1,4.1,6.4,10.6
12147,218,1.8,1.8,0.0,10.1,21.1,18.8,11.0,8.7,9.2,17.4,67250,105017,412,99.0,86.9,52.7,1.0,2.2,6.3
12148,1892,2.5,2.5,2.1,3.9,3.6,11.6,9.6,14.3,18.1,31.8,146786,171823,4371,99.6,90.8,30.9,0.4,1.8,3.4
12149,930,2.5,4.5,8.5,8.6,14.5,28.2,10.2,16.8,2.5,3.8,68654,74979,2208,94.0,66.0,47.4,6.0,5.2,7.9
12150,278,0.0,0.0,7.2,16.2,23.7,5.8,11.9,24.5,10.4,0.4,72000,76106,589,92.9,87.1,28.5,7.1,0.0,2.4
12151,384,2.6,0.0,1.3,0.5,6.0,25.0,17.7,27.3,7.0,12.5,90833,109000,868,98.7,89.9,35.9,1.3,0.0,2.9
