zcta5,inc_total,inc_10k,inc_15k,inc_25k,inc_35k,inc_50k,inc_75k,inc_100k,inc_150k,inc_200k,inc_200kplus,inc_mean,inc_avg,ins_total_pop,ins_total,ins_private,ins_public,no_ins_total,pov_families,pov_all
10115,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10119,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10128,29328,5.6,3.8,4.1,4.4,4.5,7.6,9.4,15.9,10.5,34.1,137253,224663,56651,95.3,81.0,27.9,4.7,7.1,9.5
10152,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10153,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10154,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10162,896,11.4,0.0,20.0,4.6,3.9,6.4,2.1,19.3,9.0,23.3,105391,127122,1523,100.0,79.4,58.4,0.0,0.0,6.7
10165,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10167,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10168,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10169,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10170,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10171,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10172,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10173,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10174,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10177,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10199,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10271,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10278,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10279,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,"250,000+",1605259,161,100.0,100.0,0.0,0.0,0.0,0.0
10280,4293,1.1,1.5,1.6,0.0,2.6,3.7,8.3,17.1,13.9,50.3,206150,289305,8843,96.9,85.9,14.8,3.1,3.2,4.6
10282,2635,2.8,0.7,0.0,2.4,0.5,0.0,0.9,8.2,14.7,69.8,"250,000+",462043,6450,98.9,93.4,14.0,1.1,2.0,5.8
10301,14400,6.3,3.8,5.3,5.4,6.2,17.2,12.5,16.6,11.5,15.1,84855,118113,39517,94.8,64.4,41.8,5.2,8.3,12.8
10302,5945,9.0,2.7,7.3,3.7,10.6,16.3,10.6,18.3,11.9,9.6,75588,94902,18536,91.3,61.9,36.5,8.7,11.9,17.4
10303,8675,9.3,6.4,4.8,4.7,6.4,16.1,12.3,18.0,11.8,10.1,78578,98699,27064,94.7,56.9,46.1,5.3,16.6,18.0
10304,15553,8.9,6.4,6.4,6.0,9.1,15.6,9.7,16.1,9.1,12.7,69479,108942,43992,94.5,57.3,46.4,5.5,13.9,17.0
10305,15780,5.1,3.1,6.4,5.7,8.3,15.1,13.8,19.2,10.2,13.1,84764,109945,41735,95.8,66.8,39.8,4.2,5.8,8.8
10306,19872,3.1,3.3,6.4,6.9,7.2,12.9,13.0,19.9,11.6,15.8,94758,118424,55843,95.7,72.8,36.2,4.3,7.3,9.8
10307,5217,2.5,2.0,2.2,2.6,6.8,12.7,11.3,25.0,12.3,22.7,124738,145667,14750,97.5,79.9,31.3,2.5,4.7,4.6
10308,10472,4.3,1.5,4.2,3.5,5.6,10.1,12.1,17.6,18.9,22.2,122647,136486,30075,97.2,80.6,27.9,2.8,3.0,5.3
10309,11792,5.4,5.1,2.8,4.0,4.9,16.1,9.0,13.7,13.3,25.8,110123,144776,34726,98.4,82.8,27.7,1.6,5.3,7.2
10310,9145,5.8,3.2,4.5,5.5,9.5,10.9,8.4,23.5,13.6,15.2,105523,118232,26196,95.5,67.2,36.5,4.5,9.6,13.9
10311,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10312,21324,3.1,1.8,3.2,5.1,6.8,12.1,13.0,20.7,15.8,18.5,107414,133355,63467,97.7,78.7,30.0,2.3,5.2,5.8
10314,31825,3.6,2.5,5.3,5.1,10.2,10.8,10.9,18.3,13.8,19.6,103436,128456,93522,96.6,72.1,36.7,3.4,6.6,9.5
10451,20965,13.6,12.3,15.3,9.3,12.2,12.3,9.5,7.9,4.0,3.9,34316,57674,51301,93.4,38.7,64.1,6.6,34.2,36.5
10452,28260,12.0,11.7,12.2,12.6,14.6,14.8,11.1,6.7,2.9,1.6,36536,52522,78520,93.1,37.8,65.4,6.9,31.4,36.4
10453,28456,15.6,12.0,11.8,10.8,12.7,14.0,9.0,9.1,3.5,1.6,34800,51195,80140,90.3,35.4,63.6,9.7,29.8,34.9
10454,14737,18.6,14.5,15.6,9.6,12.0,10.8,5.3,7.5,2.9,3.1,26400,47549,41017,89.8,27.8,68.9,10.2,36.7,42.1
10455,16254,14.1,11.9,10.4,12.7,13.7,13.9,9.6,8.5,3.9,1.4,35813,52036,44363,90.5,34.0,65.4,9.5,25.2,29.0
10456,32370,15.6,14.4,12.0,9.6,13.8,14.6,9.0,6.9,2.7,1.4,33317,48138,87527,92.7,38.6,66.6,7.3,31.3,36.2
10457,26163,14.6,11.9,11.9,6.9,11.2,19.3,7.6,10.7,3.6,2.2,41145,56909,79471,90.3,30.8,66.9,9.7,29.6,34.7
10458,29116,9.8,12.8,11.3,8.4,14.6,19.3,11.0,8.2,3.1,1.5,41550,56212,82522,90.3,35.8,60.8,9.7,24.4,29.5
10459,17805,10.8,9.2,14.9,9.1,13.1,15.0,11.8,8.8,3.6,3.6,41270,61443,51749,92.9,36.7,66.2,7.1,24.7,30.6
10460,21814,12.4,14.2,13.7,11.0,11.9,12.3,9.6,9.0,3.1,2.8,33080,53823,59834,93.5,33.1,69.1,6.5,31.5,35.9
10461,18807,7.1,4.9,8.5,7.9,10.8,14.8,13.2,17.0,7.6,8.2,64444,88061,50056,94.5,60.7,44.8,5.5,14.1,16.8
10462,29806,8.4,4.8,8.1,8.3,8.6,20.7,13.5,17.1,5.8,4.7,63431,77474,76984,93.6,50.9,51.2,6.4,15.6,19.3
10463,29607,5.5,7.8,8.4,8.3,9.5,15.4,11.7,15.5,7.3,10.7,66780,98349,68568,95.8,62.8,47.2,4.2,14.5,19.2
10464,1990,4.1,0.0,3.5,8.5,9.1,7.9,6.8,17.9,11.3,30.9,129109,155364,4292,93.8,79.0,39.1,6.2,0.0,4.2
10465,16168,7.7,4.5,5.9,6.1,9.3,12.0,10.7,15.6,14.6,13.5,85946,106860,45864,96.7,73.0,38.6,3.3,9.0,13.8
10466,24622,8.7,7.4,10.3,6.0,10.3,14.2,12.4,14.3,8.1,8.4,60892,86762,71764,91.0,53.4,48.4,9.0,16.8,19.8
10467,38433,11.5,8.7,10.6,9.4,12.8,16.7,11.1,11.0,5.2,3.1,46228,64960,97496,91.1,46.6,55.5,8.9,20.4,25.5
10468,28228,12.4,9.8,10.5,9.2,12.6,16.6,12.1,12.2,2.6,1.9,43985,57987,80507,90.8,37.8,64.5,9.2,24.0,26.4
10469,23337,8.4,4.9,7.6,5.6,8.4,14.1,12.9,17.4,10.5,10.4,76731,96953,69760,95.2,60.2,45.4,4.8,13.0,15.7
10470,6351,5.0,2.3,4.3,10.7,6.7,20.5,13.3,18.0,5.6,13.8,75750,100670,15361,93.9,66.1,37.8,6.1,7.3,10.7
10471,8924,2.6,3.0,3.4,5.9,7.5,10.9,12.3,20.5,12.1,21.9,111418,149559,21530,96.4,77.6,35.4,3.6,3.7,7.2
10472,22114,15.6,8.6,12.8,9.6,11.4,14.9,9.0,10.0,4.1,4.1,40025,59114,65087,87.7,33.3,61.7,12.3,28.8,32.0
10473,22795,8.8,10.7,9.2,7.7,12.2,15.8,10.9,14.7,5.7,4.4,51379,73681,59844,94.6,52.0,53.7,5.4,17.2,21.2
10474,3808,13.2,9.1,13.6,9.4,15.4,16.2,6.0,7.5,6.5,3.0,40795,55791,10745,91.4,39.9,58.9,8.6,29.0,33.8
10475,18383,4.7,4.7,11.9,9.5,14.4,19.4,11.3,15.0,7.0,2.2,57003,69530,42597,95.3,59.1,47.7,4.7,9.7,14.2
10501,474,0.0,0.0,8.0,0.0,2.5,1.9,0.0,16.0,10.5,61.0,"250,000+",238736,1416,99.6,77.9,30.5,0.4,6.7,7.7
10502,1892,2.7,0.0,1.7,1.8,2.1,5.5,7.3,9.2,11.4,58.2,244792,263317,5730,99.2,89.6,23.5,0.8,0.5,2.0
10503,57,0.0,0.0,0.0,0.0,0.0,0.0,28.1,29.8,0.0,42.1,-,200846,94,100.0,100.0,53.2,0.0,0.0,0.0
10504,2634,1.8,0.3,1.0,0.4,5.7,3.4,8.0,9.3,10.3,59.9,243523,381337,8028,99.3,92.3,17.4,0.7,2.6,2.7
10505,430,0.0,4.4,6.3,7.9,6.3,10.2,10.2,10.2,17.7,26.7,126548,202289,1132,97.7,77.0,29.3,2.3,0.0,2.0
10506,2144,3.5,0.0,0.5,4.9,1.9,1.8,6.1,7.6,19.0,54.7,236071,344011,6333,99.6,93.5,17.4,0.4,3.3,3.5
10507,1952,6.3,3.8,6.9,2.9,9.1,7.2,16.3,16.9,4.6,26.0,92297,200494,5428,95.9,71.9,39.5,4.1,12.2,12.9
10509,7187,2.2,1.5,5.0,5.5,5.5,11.5,9.3,21.8,14.2,23.5,117586,147694,19688,95.1,74.1,34.3,4.9,4.0,6.4
10510,3835,3.4,2.4,3.5,3.2,1.7,5.3,5.8,14.8,10.4,49.5,198713,300710,10302,99.0,88.5,27.1,1.0,2.8,5.6
10511,796,3.0,2.0,2.8,2.9,2.3,10.4,15.1,18.8,18.7,24.0,132708,167447,2281,98.3,80.0,33.5,1.7,1.8,3.7
10512,9276,1.6,2.3,5.7,5.5,6.6,11.5,9.6,20.8,16.0,20.4,115656,138029,24116,98.3,82.1,32.6,1.7,3.6,5.7
10514,4159,0.3,1.1,1.2,2.0,0.8,6.2,2.8,12.6,9.0,64.0,"250,000+",354882,12867,99.2,92.8,19.2,0.8,1.7,2.4
10516,2316,3.4,2.2,3.7,4.5,5.2,10.8,10.0,16.0,11.8,32.4,130893,172118,5578,96.2,77.8,34.8,3.8,5.0,6.3
10517,154,5.2,0.0,0.0,14.3,10.4,26.6,7.8,22.1,0.0,13.6,64000,104495,417,98.1,75.5,40.0,1.9,0.0,5.5
10518,339,0.0,12.1,3.8,0.0,2.9,14.2,13.0,2.1,14.2,37.8,155464,216697,830,96.1,84.7,22.3,3.9,0.0,4.9
10519,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-,N,122,100.0,100.0,0.0,0.0,0.0,0.0
10520,5015,2.3,2.2,2.7,3.8,5.8,10.8,12.4,13.3,12.2,34.4,135990,184098,12372,97.7,83.7,27.9,2.3,3.3,5.5
10522,3794,2.5,0.9,3.1,3.0,6.5,11.5,10.2,12.5,16.3,33.6,144000,201975,11001,96.4,82.8,24.6,3.6,1.5,5.6
10523,3221,4.5,1.6,3.8,2.7,4.8,10.0,13.5,24.1,12.6,22.4,117066,138203,9382,93.8,75.7,30.1,6.2,4.4,7.9
10524,1533,3.1,1.2,3.1,1.8,6.2,12.8,11.9,19.7,13.1,27.1,122841,159253,4328,98.7,79.7,34.8,1.3,1.0,9.9
10526,696,0.0,0.0,3.9,0.0,1.9,7.8,8.3,13.2,9.2,55.7,219167,310581,1939,97.9,86.3,18.8,2.1,0.0,2.0
10527,204,0.0,0.0,0.0,0.0,3.4,9.8,20.1,0.0,8.3,58.3,208462,238106,608,100.0,88.8,18.1,0.0,0.0,1.5
10528,4611,4.4,1.1,1.7,4.4,3.7,6.0,7.5,25.9,9.7,35.6,143559,225147,13352,96.5,86.0,21.1,3.5,4.4,6.3
10530,6358,3.3,0.6,7.9,2.9,6.3,10.9,11.5,17.5,11.3,28.0,112727,165147,14085,98.1,82.6,34.8,1.9,4.0,5.8
10532,1796,2.7,1.8,4.3,3.6,3.0,13.4,9.7,20.2,8.7,32.7,131531,178952,4907,99.2,84.4,30.1,0.8,0.8,3.4
10533,2416,1.0,0.7,1.2,1.0,3.2,9.4,2.3,8.0,24.1,49.0,196111,295574,7370,98.8,93.2,13.7,1.2,0.0,1.6
10535,135,0.0,0.0,0.0,0.0,3.7,37.0,0.0,28.9,0.0,30.4,-,124548,214,97.2,88.8,30.4,2.8,11.4,8.4
10536,3507,1.8,4.1,1.5,0.7,2.4,3.8,5.5,11.1,14.5,54.7,228185,290457,10534,98.0,90.3,22.9,2.0,7.0,6.8
10537,944,1.5,0.0,3.1,6.9,6.0,9.5,11.3,26.1,12.2,23.4,120605,135433,2961,92.6,79.4,27.1,7.4,15.3,14.2
10538,6237,4.4,0.0,1.0,3.9,5.8,5.1,8.2,10.8,7.4,53.6,222589,359154,17605,97.0,88.5,17.5,3.0,0.3,2.3
10540,0,-,-,-,-,-,-,-,-,-,-,-,-,22,54.5,13.6,40.9,45.5,-,100.0
10541,8833,2.1,0.8,2.3,3.3,6.3,10.5,12.1,23.5,17.4,21.8,130517,146684,26116,97.0,84.5,25.0,3.0,2.5,3.0
10542,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10543,7486,4.2,1.4,3.4,5.3,7.0,8.1,10.0,17.8,10.6,32.1,128047,195496,21020,93.8,75.4,29.8,6.2,1.9,6.2
10545,0,-,-,-,-,-,-,-,-,-,-,-,-,203,100.0,59.1,57.1,0.0,-,50.3
10546,398,0.0,0.0,0.0,0.0,19.6,1.3,7.5,6.5,15.8,49.2,199464,218339,1022,99.2,93.6,16.7,0.8,0.0,0.3
10547,2785,2.5,2.0,3.8,5.6,7.2,7.8,9.8,13.7,18.1,29.5,132330,157195,7558,97.7,82.2,28.6,2.3,5.4,5.9
10548,1332,2.8,0.0,4.7,4.7,7.1,13.7,12.3,16.4,14.8,23.5,119803,135530,4183,96.2,78.4,31.7,3.8,5.3,11.2
10549,5952,6.2,0.1,4.3,5.0,4.2,12.4,9.2,18.8,9.2,30.8,119333,184205,15794,95.2,76.6,33.0,4.8,3.2,5.7
10550,15636,9.5,9.4,7.9,7.7,13.9,10.0,12.8,14.7,7.4,6.7,54138,77259,39843,91.9,56.4,47.9,8.1,16.2,19.7
10552,9431,6.9,1.5,3.7,6.0,9.2,11.9,13.6,18.9,10.2,18.1,93288,126135,21709,96.0,77.4,34.9,4.0,3.8,6.7
10553,3655,4.4,2.7,4.8,8.9,4.5,14.1,16.0,15.2,13.6,15.8,88962,114897,10526,92.6,68.1,34.3,7.4,5.7,7.0
10560,1738,1.7,0.0,3.2,4.2,3.2,8.0,7.0,14.8,15.0,42.9,171111,206856,4765,98.8,85.7,28.5,1.2,0.6,2.2
10562,12050,2.4,2.0,4.4,3.5,7.1,10.9,15.5,21.6,10.6,22.0,111510,147471,31767,92.0,70.9,33.3,8.0,4.3,7.0
10566,10884,5.6,2.6,5.2,9.0,8.8,11.3,14.3,22.0,7.1,14.0,86695,107823,25211,94.5,67.7,39.1,5.5,4.6,9.6
10567,6454,1.7,1.2,2.9,1.8,3.4,6.5,11.8,19.6,18.3,32.8,152278,180454,19863,94.7,78.9,29.8,5.3,3.0,4.9
10570,4292,1.4,0.8,1.6,2.8,5.4,9.2,7.0,13.5,14.7,43.7,179056,247626,12962,97.9,88.5,20.8,2.1,2.1,3.6
10573,13602,4.4,3.4,5.9,3.6,6.6,10.4,13.6,18.8,10.3,23.2,105601,163294,40925,91.6,68.4,34.3,8.4,9.5,12.2
10576,1777,2.1,1.1,0.9,0.4,2.0,3.2,4.5,13.7,14.9,57.3,218348,331407,4927,97.6,90.6,26.9,2.4,1.4,3.1
10577,760,0.0,0.0,0.0,0.0,4.2,3.4,5.3,6.4,10.3,70.4,"250,000+",437477,6145,96.0,87.7,15.0,4.0,0.0,0.9
10578,536,0.0,0.0,0.0,0.0,0.0,2.1,2.2,10.6,20.3,64.7,"250,000+",257108,1788,100.0,94.6,11.5,0.0,0.0,0.0
10579,2893,1.9,3.2,3.7,5.8,6.5,9.8,9.9,17.1,14.2,27.8,122633,149953,8171,96.4,81.8,27.6,3.6,3.8,3.8
10580,6297,2.1,0.6,3.0,2.0,3.7,5.2,5.0,11.7,10.8,56.0,230434,414757,17959,98.5,91.9,16.2,1.5,1.8,2.9
10583,14167,1.7,1.2,2.7,2.4,3.2,6.0,7.0,10.9,7.9,57.0,243514,391567,41022,98.0,90.2,19.8,2.0,1.6,3.0
10588,1217,1.2,0.0,1.4,2.0,6.7,9.0,5.4,26.0,15.3,32.9,129823,165786,3295,94.3,74.8,35.8,5.7,0.0,0.6
10589,3469,5.9,1.0,4.8,5.1,5.5,11.8,12.7,16.1,13.1,24.0,111250,152894,7158,97.0,80.1,45.7,3.0,3.6,4.7
10590,2622,2.6,0.8,2.9,0.5,9.7,5.9,4.3,16.2,12.5,44.5,188732,237754,7406,96.9,83.2,28.0,3.1,2.8,3.8
10591,9609,3.2,2.3,5.9,5.5,5.6,12.0,13.1,17.8,10.2,24.3,107574,160787,23764,96.6,75.2,35.8,3.4,5.2,7.7
10594,1724,1.6,1.6,2.3,0.3,4.5,13.8,10.5,13.1,11.3,41.2,161154,196575,5540,98.4,87.8,27.1,1.6,1.9,5.2
10595,2309,15.5,3.3,1.8,4.0,7.2,7.6,14.3,9.8,9.9,26.4,87272,157836,6178,97.4,84.2,30.2,2.6,4.5,16.3
10596,364,7.1,0.0,2.7,0.0,17.0,29.1,17.9,11.0,6.6,8.5,70833,90608,796,97.2,74.1,38.1,2.8,0.0,6.5
10597,206,0.0,0.0,0.0,0.0,3.4,0.0,10.2,15.0,5.3,66.0,"250,000+",302960,642,100.0,83.6,17.6,0.0,0.0,0.0
10598,10478,2.5,1.2,2.7,3.8,5.5,9.1,7.4,17.1,14.5,36.3,153164,181242,29066,98.3,84.0,30.4,1.7,2.7,4.1
10601,5430,3.1,5.2,5.2,10.4,6.2,15.6,8.8,14.1,11.5,20.0,84695,132142,11145,93.9,69.6,36.5,6.1,14.7,17.1
10603,7260,3.0,3.4,2.9,3.8,8.1,10.2,13.4,14.8,16.4,24.0,125385,150528,19238,93.6,77.2,28.7,6.4,4.6,9.0
10604,3972,1.8,1.1,4.6,4.8,9.5,15.6,5.9,17.6,11.3,27.8,111583,183359,11799,93.4,76.8,27.2,6.6,2.1,3.8
10605,7849,3.4,1.9,4.1,5.4,6.2,8.2,8.3,16.9,10.8,34.7,140262,192655,19684,96.4,82.9,31.0,3.6,3.4,5.8
10606,6084,4.2,1.8,5.7,6.8,7.1,13.4,8.1,22.3,9.4,21.2,106984,162795,16185,89.7,67.7,30.6,10.3,6.8,10.7
10607,2316,1.9,0.0,5.5,0.0,11.9,6.7,7.6,18.5,13.7,34.1,142685,185440,6764,93.9,76.1,33.7,6.1,2.3,5.6
10701,26991,9.9,6.2,8.0,7.5,11.6,15.9,9.4,15.7,5.2,10.5,60022,89133,67518,91.9,53.3,51.2,8.1,14.2,16.8
10703,7940,3.4,4.0,7.6,2.9,10.4,17.9,11.2,16.5,11.6,14.4,84689,110496,23317,96.3,67.5,44.8,3.7,6.7,9.1
10704,12255,6.6,1.7,6.3,4.7,7.5,14.2,9.4,20.7,14.6,14.2,98936,113837,32438,94.8,77.7,32.4,5.2,7.6,11.2
10705,15085,9.6,5.0,9.3,6.6,11.4,12.9,10.4,17.2,6.4,11.2,64387,94434,38829,92.0,53.3,52.7,8.0,15.2,18.3
10706,3359,1.4,1.4,1.8,2.8,5.2,7.2,9.9,17.4,9.3,43.5,161908,253702,8806,98.5,89.0,26.6,1.5,0.8,1.9
10707,4185,2.9,4.2,1.4,2.3,8.3,11.4,6.6,19.7,15.8,27.3,128197,184105,10196,96.8,88.8,24.0,3.2,2.3,5.7
10708,9512,3.0,3.0,2.7,3.3,4.9,8.7,16.9,15.2,13.4,28.8,121556,221991,22590,96.7,88.6,25.5,3.3,5.1,6.3
10709,3666,2.0,1.7,1.9,8.6,5.9,9.3,6.0,11.5,12.5,40.5,154935,206022,10085,98.7,89.1,29.1,1.3,1.5,3.0
10710,10044,4.2,3.1,5.3,4.9,9.6,14.5,9.3,17.3,9.9,21.8,97941,123650,26006,96.0,78.5,35.1,4.0,5.4,8.7
10801,15602,5.8,6.2,8.6,6.6,8.9,9.3,11.1,16.8,8.7,18.0,80945,121865,41439,90.6,65.4,35.6,9.4,11.4,14.6
10803,4302,2.1,0.0,2.0,3.0,2.5,6.2,4.1,14.0,13.0,53.1,213674,324079,13283,99.1,91.3,17.7,0.9,2.1,2.5
10804,5086,2.0,1.3,0.7,1.6,2.7,6.7,8.4,10.5,13.3,52.8,225517,296544,15036,99.5,89.0,24.5,0.5,1.2,3.4
10805,8124,3.5,3.3,6.1,5.1,11.6,16.8,11.2,17.0,10.8,14.5,82601,123690,20051,90.8,65.7,37.7,9.2,4.3,9.4
10901,9227,3.8,2.5,6.7,6.8,7.8,10.7,8.5,20.1,12.0,21.1,110758,135805,25309,97.1,75.3,35.4,2.9,6.2,8.8
10910,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10911,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,-,N,12,100.0,50.0,50.0,0.0,0.0,0.0
10913,1479,3.3,0.0,2.3,7.7,1.6,9.0,6.1,17.0,19.3,33.8,172750,176116,5286,97.1,84.5,26.3,2.9,4.5,9.1
10914,89,0.0,0.0,0.0,0.0,13.5,28.1,58.4,0.0,0.0,0.0,87682,74030,384,100.0,97.7,57.3,0.0,0.0,0.0
10915,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10916,1401,3.4,1.9,0.0,4.6,7.0,19.4,9.9,12.3,20.9,20.8,109156,139429,4345,94.0,77.9,26.9,6.0,3.8,5.3
10917,553,2.2,2.4,0.0,0.0,6.7,13.6,4.5,23.7,6.3,40.7,129276,185445,1969,95.5,84.8,23.5,4.5,0.0,1.4
10918,4119,1.8,2.8,7.0,3.2,7.1,7.8,9.4,17.5,22.5,20.9,130148,158856,12115,96.8,76.8,28.9,3.2,3.7,7.3
10919,508,0.0,0.0,6.3,12.4,0.0,17.1,5.9,47.2,0.0,11.0,100571,97350,1256,86.8,65.9,33.5,13.2,0.0,1.0
10920,2801,1.7,1.3,2.3,4.2,5.6,7.8,10.4,20.1,14.3,32.3,138603,173428,8605,98.0,83.9,25.9,2.0,2.5,4.8
10921,1503,2.3,1.5,2.9,0.8,8.6,10.0,18.0,25.1,14.9,15.9,108787,132972,4241,94.0,75.9,32.1,6.0,5.7,7.2
10922,537,5.6,0.0,0.0,5.2,0.0,16.6,21.0,19.6,4.1,27.9,117610,125597,1289,100.0,94.6,15.1,0.0,0.0,3.3
10923,2803,2.2,3.8,4.2,2.0,7.9,10.2,19.5,18.8,13.8,17.7,101771,139806,8419,98.8,73.2,40.2,1.2,11.9,12.7
10924,4617,3.9,2.3,8.5,3.8,5.0,12.9,9.6,16.4,11.0,26.6,112040,151750,12983,95.1,81.1,30.2,4.9,4.6,4.9
10925,1647,2.2,0.0,9.2,3.8,10.6,15.7,9.4,21.4,11.0,16.8,98902,111717,4466,94.5,69.6,36.2,5.5,8.4,12.0
10926,1529,3.6,1.3,6.6,7.1,11.4,15.2,10.9,22.7,6.5,14.7,89135,116399,3909,91.3,70.8,32.9,8.7,11.1,9.1
10927,3686,7.0,3.5,7.3,7.0,9.3,14.2,19.0,11.9,6.0,14.9,77254,102566,12127,96.0,55.7,54.5,4.0,11.1,12.4
10928,2215,3.5,1.5,7.4,8.5,9.8,14.6,10.1,25.0,11.1,8.7,83884,106173,5009,96.8,71.9,40.5,3.2,5.4,7.0
10930,3320,1.6,1.9,2.9,2.0,5.5,18.7,6.3,13.3,16.6,31.1,142778,149191,10326,95.8,84.0,23.8,4.2,6.7,4.9
10931,343,1.7,2.3,1.7,9.9,16.6,12.8,20.7,11.4,11.4,11.4,79688,102573,1131,94.6,72.1,30.9,5.4,6.5,12.4
10932,21,0.0,0.0,0.0,0.0,0.0,0.0,38.1,0.0,0.0,61.9,-,N,43,100.0,60.5,39.5,0.0,0.0,0.0
10933,130,10.0,0.0,24.6,0.0,0.0,0.0,0.0,33.8,31.5,0.0,133065,107508,401,100.0,69.6,33.7,0.0,27.4,33.7
10940,18375,5.9,3.5,8.3,5.9,7.6,16.5,13.6,18.8,10.4,9.5,81158,98561,51429,93.7,66.2,39.7,6.3,8.4,12.9
10941,5376,2.1,2.1,3.8,3.9,7.2,17.9,16.3,23.3,14.5,8.8,94055,110589,14485,94.4,73.3,35.9,5.6,7.7,10.6
10950,15293,3.6,2.6,10.8,8.5,9.5,13.7,11.0,15.7,10.5,14.1,76375,106138,62979,97.5,42.5,63.0,2.5,21.2,28.4
10952,10867,4.2,5.3,12.0,9.3,9.8,15.0,10.1,15.4,7.6,11.3,68224,101970,47389,97.2,32.1,72.1,2.8,28.4,35.3
10953,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10954,9363,3.4,1.5,4.6,3.9,5.5,11.4,12.0,20.3,13.9,23.6,115042,158377,27376,95.6,75.6,34.0,4.4,3.8,6.7
10956,9397,1.9,1.0,2.8,2.9,3.8,7.1,9.4,13.8,17.2,40.2,173900,198034,30443,97.3,81.4,30.6,2.7,3.4,4.0
10958,912,5.0,2.9,1.5,2.1,4.5,15.6,5.7,24.2,13.3,25.2,131250,148613,2516,97.8,86.4,29.7,2.2,0.0,4.6
10960,5822,1.7,2.1,5.9,9.2,6.6,8.8,11.8,12.4,9.7,31.9,114698,168515,14130,96.7,74.6,37.5,3.3,2.1,4.0
10962,1659,2.9,0.0,6.6,3.7,7.5,10.0,5.9,12.9,10.4,40.1,151635,168822,4981,97.7,82.9,29.0,2.3,3.5,4.7
10963,1282,1.6,2.5,10.2,5.6,12.9,15.1,10.1,19.9,12.0,10.1,78786,99593,3285,89.5,63.6,37.8,10.5,3.7,6.3
10964,567,5.8,0.0,7.1,0.0,4.8,12.5,2.3,16.9,9.7,40.9,180273,239561,1525,97.8,85.0,29.8,2.2,0.0,3.7
10965,5487,2.9,0.8,4.7,1.6,5.5,12.8,8.6,20.6,14.3,28.2,130610,153267,15659,96.3,80.9,31.5,3.7,3.4,6.9
10968,1199,1.4,0.0,2.3,1.6,12.4,8.2,13.9,15.1,16.3,28.8,138456,167475,2474,98.7,85.5,30.6,1.3,0.0,1.1
10969,338,0.0,0.0,0.0,4.4,0.0,7.7,3.8,32.8,18.9,32.2,153409,181316,999,99.0,93.8,19.4,1.0,0.0,0.0
10970,4054,3.4,1.3,8.2,6.2,7.5,10.4,12.7,18.5,12.6,19.3,101974,130794,11571,97.0,70.0,40.9,3.0,4.3,7.3
10973,799,0.0,0.0,7.5,12.3,0.0,12.0,6.4,13.4,19.8,28.7,129798,153634,2388,94.0,81.8,26.3,6.0,3.4,8.7
10974,1256,1.8,0.7,1.0,1.6,3.7,22.7,10.4,23.0,11.4,23.7,107414,147664,3335,95.8,86.5,26.0,4.2,2.5,3.2
10975,106,12.3,0.0,0.0,0.0,8.5,9.4,11.3,58.5,0.0,0.0,100425,81463,246,100.0,46.7,62.2,0.0,17.3,9.8
10976,593,11.0,5.4,10.6,3.2,4.6,14.0,4.4,11.1,16.5,19.2,79583,115692,2041,95.7,78.4,33.1,4.3,0.0,12.7
10977,16488,4.2,4.2,10.5,7.5,13.2,13.0,11.1,19.3,6.4,10.6,67252,104835,70345,91.7,36.8,63.3,8.3,22.5,28.7
